Product,Category,CP,SP
Smartphone,Electronics,22000,26400
Laptop,Electronics,55000,63250
Tablet,Electronics,18000,19800
Smartwatch,Electronics,6500,5850
Headphones,Electronics,2000,2400
Backpack,Accessories,1400,1820
Running Shoes,Fashion,2800,3360
Jacket,Fashion,4200,3780
T-Shirt,Fashion,750,975
Office Chair,Furniture,6800,8160
Study Table,Furniture,9200,8280
Desk Lamp,Furniture,1100,1430
Water Bottle,Accessories,550,660
Power Bank,Electronics,1800,2070
Bluetooth Speaker,Electronics,3200,3840
Keyboard,Electronics,1200,1080
Wireless Mouse,Electronics,500,650
Webcam,Electronics,2800,3360
Printer,Electronics,15000,13500
USB Hub,Electronics,900,1170
